user_id,avg_amount,median_amount,amount_std,min_amount,max_amount,transaction_count,preferred_category,avg_hour,weekend_ratio,first_transaction,last_transaction,cluster
USER_0041,663.64,525.0,551.53,126,1979,11,Entertainment,15.55,0.45,2024-01-14 10:27:00,2024-10-12 18:56:00,0
USER_0042,563.86,540.0,333.0,147,1211,7,Bills & Utilities,13.57,0.43,2024-02-11 14:33:00,2024-12-24 10:11:00,0
USER_0043,488.56,516.0,319.69,93,1101,9,Fuel,14.22,0.22,2024-01-30 14:00:00,2024-12-22 20:16:00,2
USER_0044,582.3,573.5,362.97,153,1383,10,Entertainment,16.5,0.2,2024-01-21 15:29:00,2024-09-22 18:43:00,2
USER_0045,969.29,247.5,1476.69,17,4614,14,Transportation,15.86,0.5,2024-01-04 18:00:00,2024-12-30 18:03:00,3
USER_0046,668.0,633.0,510.41,113,1679,11,Entertainment,17.55,0.27,2024-03-30 17:14:00,2024-10-08 20:35:00,2
USER_0047,967.27,432.0,1654.58,133,5885,11,Food & Dining,17.55,0.55,2024-01-07 16:23:00,2024-12-01 15:59:00,3
USER_0048,505.25,463.5,282.96,39,1022,8,Food & Dining,12.25,0.12,2024-02-05 10:30:00,2024-12-18 12:59:00,2
USER_0049,456.75,472.5,271.01,100,864,8,Bills & Utilities,15.5,0.38,2024-03-01 12:02:00,2024-12-22 14:50:00,0
USER_0050,405.0,219.0,363.25,47,1050,15,Food & Dining,14.27,0.27,2024-02-05 12:35:00,2024-12-30 18:14:00,3
USER_0051,698.41,568.0,585.42,67,1914,17,Food & Dining,15.06,0.35,2024-01-10 20:24:00,2024-12-25 11:00:00,3
USER_0052,805.5,554.5,787.29,64,2445,8,Healthcare,15.75,0.38,2024-01-27 20:39:00,2024-11-30 15:24:00,0
USER_0053,676.14,763.0,317.67,202,1054,7,Fuel,15.0,0.14,2024-01-24 16:48:00,2024-11-28 13:51:00,2
USER_0054,706.38,348.5,845.85,55,2374,8,Fuel,13.5,0.25,2024-03-04 10:28:00,2024-10-30 20:53:00,2
USER_0055,1160.22,444.0,1384.29,65,4216,9,Groceries,14.67,0.44,2024-01-03 13:29:00,2024-10-26 14:44:00,0
USER_0056,1233.23,872.0,1037.21,28,3512,13,Transfer to Friends,14.15,0.54,2024-02-27 12:40:00,2024-12-15 10:44:00,3
USER_0057,1221.71,897.0,1175.3,148,3554,7,Groceries,16.0,0.29,2024-02-07 16:53:00,2024-12-10 20:50:00,4
USER_0058,1360.79,883.5,1639.08,30,6334,14,Healthcare,14.57,0.14,2024-01-03 12:46:00,2024-12-10 20:25:00,4
USER_0059,416.92,283.5,373.89,40,1213,12,Groceries,15.08,0.42,2024-04-03 08:21:00,2024-12-24 12:13:00,0
USER_0060,1049.25,447.0,1419.56,100,4282,8,Shopping,12.88,0.5,2024-04-24 20:22:00,2024-12-27 13:17:00,0
USER_0061,1307.33,613.0,1146.53,365,3383,9,Transfer to Friends,15.11,0.22,2024-01-01 10:04:00,2024-09-08 07:00:00,4
USER_0062,1296.64,1387.0,911.31,130,3161,11,Bills & Utilities,15.0,0.36,2024-01-29 20:01:00,2024-12-14 20:07:00,3
USER_0063,1217.58,861.5,1475.72,41,5489,12,Entertainment,15.33,0.42,2024-01-02 09:46:00,2024-12-08 11:51:00,3
USER_0064,1542.22,601.0,1768.07,41,5265,9,Education,14.11,0.33,2024-02-11 17:54:00,2024-12-03 09:28:00,1
USER_0065,1601.3,1327.0,1318.86,117,3939,10,Fuel,12.5,0.4,2024-02-12 15:05:00,2024-12-07 06:44:00,1
USER_0066,594.13,388.0,590.15,140,2456,15,Entertainment,14.47,0.47,2024-01-07 16:33:00,2024-12-08 12:15:00,3
USER_0067,1042.0,752.0,562.6,515,2273,10,Healthcare,14.7,0.2,2024-01-09 16:36:00,2024-10-04 20:47:00,2
USER_0068,870.83,957.5,464.73,308,1442,6,Fuel,12.5,0.5,2024-03-15 14:35:00,2024-12-08 12:29:00,0
USER_0069,1858.9,941.0,2208.02,129,7190,10,Education,15.6,0.5,2024-01-14 15:53:00,2024-12-01 18:13:00,1
USER_0070,373.5,386.5,285.11,54,937,8,Entertainment,14.12,0.25,2024-02-12 10:53:00,2024-12-08 22:17:00,2
USER_0071,1359.5,1155.5,1232.94,153,2974,4,Fuel,16.0,0.0,2024-05-16 15:30:00,2024-08-13 17:10:00,4
USER_0072,969.88,476.0,1407.55,124,4330,8,Entertainment,16.25,0.12,2024-03-25 15:06:00,2024-11-01 14:29:00,4
USER_0073,1266.5,581.0,1695.01,104,4818,8,Healthcare,13.38,0.12,2024-01-02 13:56:00,2024-12-13 12:49:00,4
USER_0074,1272.38,1048.0,1100.26,48,3681,8,Education,14.25,0.25,2024-04-22 20:53:00,2024-10-09 12:34:00,4
USER_0075,1278.67,955.0,1236.22,355,3726,6,Groceries,11.17,0.17,2024-02-06 15:31:00,2024-11-23 09:45:00,4
USER_0076,500.36,414.0,500.92,47,1593,11,Food & Dining,16.0,0.27,2024-01-13 16:46:00,2024-12-05 22:00:00,2
USER_0077,763.08,591.5,796.69,93,3132,12,Education,13.17,0.42,2024-01-29 11:58:00,2024-12-16 10:53:00,3
USER_0078,1504.62,591.0,1889.49,115,4668,8,Fuel,15.0,0.12,2024-01-09 22:17:00,2024-12-11 11:59:00,4
USER_0079,1248.29,1496.0,1014.33,97,2962,7,Transfer to Friends,15.29,0.29,2024-04-04 19:22:00,2024-12-04 16:33:00,4
USER_0080,754.33,659.0,546.7,74,1752,9,Bills & Utilities,16.11,0.33,2024-01-13 18:52:00,2024-12-13 16:28:00,2
USER_0081,622.67,393.5,601.89,36,1610,12,Groceries,15.58,0.0,2024-01-24 12:10:00,2024-12-04 19:51:00,2
USER_0082,938.45,886.0,567.97,219,1890,11,Groceries,12.91,0.36,2024-02-12 09:09:00,2024-12-01 10:40:00,3
USER_0083,728.75,295.5,772.21,51,1719,8,Transportation,15.25,0.25,2024-01-04 10:20:00,2024-11-22 18:01:00,2
USER_0084,723.3,593.0,611.56,49,1942,10,Bills & Utilities,13.9,0.2,2024-03-28 10:58:00,2024-12-19 17:44:00,2
USER_0085,1206.29,987.5,834.06,129,3141,14,Bills & Utilities,14.0,0.29,2024-02-10 18:40:00,2024-12-23 13:18:00,3
USER_0086,708.82,466.0,690.28,60,2261,11,Entertainment,16.18,0.18,2024-02-28 21:45:00,2024-12-24 18:28:00,2
USER_0087,1342.44,478.0,1886.27,137,5559,9,Education,14.11,0.22,2024-04-24 20:39:00,2024-11-17 22:55:00,4
USER_0088,943.18,715.0,808.49,26,2498,11,Bills & Utilities,14.18,0.27,2024-02-01 15:21:00,2024-12-23 08:56:00,3
USER_0089,820.88,798.0,570.22,195,1915,8,Fuel,13.12,0.38,2024-02-19 22:02:00,2024-12-18 12:45:00,0
USER_0090,631.79,368.0,652.01,58,2575,14,Entertainment,15.86,0.36,2024-03-01 19:11:00,2024-12-21 11:08:00,3
USER_0091,737.0,696.0,471.22,69,1369,9,Entertainment,15.56,0.33,2024-01-13 15:23:00,2024-12-29 07:13:00,2
USER_0092,1044.4,491.0,1401.31,10,5556,15,Transfer to Friends,13.67,0.13,2024-01-05 14:37:00,2024-12-04 21:15:00,3
USER_0093,869.83,507.5,989.53,71,3309,12,Bills & Utilities,13.08,0.42,2024-03-12 13:06:00,2024-12-29 11:53:00,3
USER_0094,633.22,287.0,666.68,69,2128,9,Bills & Utilities,15.0,0.44,2024-02-10 15:22:00,2024-12-07 18:33:00,0
USER_0095,767.12,375.0,828.73,97,2042,8,Food & Dining,14.5,0.12,2024-01-02 09:08:00,2024-09-24 21:15:00,2
USER_0096,660.22,433.5,837.24,27,3608,18,Transportation,12.89,0.28,2024-01-17 15:42:00,2024-12-04 13:55:00,3
USER_0097,1441.22,1011.0,1152.95,60,3191,9,Education,14.56,0.44,2024-04-08 19:42:00,2024-12-16 17:41:00,1
USER_0098,1521.86,668.0,1653.86,67,5159,14,Education,13.21,0.36,2024-01-14 15:47:00,2024-10-18 19:54:00,1
USER_0099,975.75,402.5,1696.44,28,6152,12,Food & Dining,15.0,0.17,2024-01-22 22:28:00,2024-12-15 17:09:00,4
USER_0100,1391.0,631.0,2164.04,150,6197,7,Entertainment,16.71,0.57,2024-03-03 10:14:00,2024-11-28 15:52:00,1
USER_0101,1053.78,632.0,1214.91,154,4085,9,Bills & Utilities,14.44,0.44,2024-01-30 13:48:00,2024-12-07 10:50:00,0
USER_0102,2002.33,1727.0,1007.62,1161,3119,3,Education,13.67,0.33,2024-03-03 13:47:00,2024-09-16 18:29:00,1
USER_0103,914.07,542.0,1063.2,79,3897,15,Entertainment,14.13,0.2,2024-01-01 12:47:00,2024-12-23 11:07:00,3
USER_0104,1669.17,1262.0,1489.66,90,4386,12,Education,14.17,0.42,2024-01-18 10:59:00,2024-12-28 10:24:00,1
USER_0105,1293.43,1205.0,801.89,216,2277,7,Shopping,13.71,0.14,2024-01-31 11:25:00,2024-12-19 16:18:00,4
USER_0106,1111.38,525.5,1177.13,107,4005,16,Food & Dining,14.19,0.31,2024-02-01 15:16:00,2024-12-28 13:04:00,3
USER_0107,996.07,696.0,1086.63,43,4341,15,Healthcare,13.07,0.6,2024-01-17 10:05:00,2024-12-07 09:30:00,3
USER_0108,937.18,807.0,1078.51,59,3585,11,Fuel,14.18,0.36,2024-01-05 07:51:00,2024-12-07 15:55:00,3
USER_0109,976.36,518.0,854.74,176,2683,11,Education,12.91,0.45,2024-02-24 14:21:00,2024-11-04 14:24:00,0
USER_0110,1314.92,785.0,1453.77,136,5135,13,Entertainment,14.0,0.31,2024-02-12 12:16:00,2024-12-24 16:32:00,3
USER_0111,784.29,479.0,1234.91,74,5010,14,Groceries,13.57,0.21,2024-01-11 21:27:00,2024-11-17 11:52:00,3
USER_0112,1100.93,648.5,1410.96,70,5034,14,Transfer to Friends,14.29,0.29,2024-01-14 07:06:00,2024-11-22 22:06:00,3
USER_0113,802.82,560.0,688.71,98,1880,11,Healthcare,14.82,0.09,2024-01-10 10:02:00,2024-12-17 15:49:00,2
USER_0114,443.36,368.0,416.18,41,1491,11,Bills & Utilities,14.27,0.27,2024-01-07 17:01:00,2024-12-28 10:23:00,2
USER_0115,1000.71,683.0,786.57,344,2495,7,Entertainment,15.57,0.29,2024-01-16 21:15:00,2024-11-27 22:09:00,0
USER_0116,1081.0,833.0,976.34,233,2425,4,Fuel,16.0,0.75,2024-01-20 17:03:00,2024-11-23 17:24:00,0
USER_0117,1075.18,830.0,1023.43,233,3485,11,Groceries,14.36,0.36,2024-01-09 14:55:00,2024-12-26 19:57:00,3
USER_0118,1453.38,556.5,2109.13,114,6346,8,Education,10.38,0.25,2024-06-08 10:26:00,2024-12-06 07:19:00,1
USER_0119,539.56,458.0,619.3,108,2129,9,Transportation,13.22,0.56,2024-01-16 12:46:00,2024-10-16 20:21:00,0
USER_0120,1120.4,553.0,1081.94,195,2540,5,Bills & Utilities,12.6,0.2,2024-03-17 19:37:00,2024-11-20 09:36:00,4
USER_0121,539.43,538.0,357.31,51,1059,14,Transportation,15.36,0.14,2024-03-07 17:54:00,2024-12-21 17:27:00,2
USER_0122,1428.9,944.5,1580.95,25,5164,10,Entertainment,14.4,0.3,2024-03-11 10:59:00,2024-12-29 10:56:00,1
USER_0123,882.0,359.5,1571.59,58,5289,10,Shopping,13.9,0.0,2024-01-02 15:31:00,2024-12-16 18:53:00,4
USER_0124,818.82,467.0,971.59,45,3592,11,Bills & Utilities,14.73,0.36,2024-02-05 21:28:00,2024-08-04 07:27:00,3
USER_0125,1231.11,484.0,1513.04,34,4381,9,Education,13.89,0.11,2024-01-16 09:36:00,2024-12-02 14:11:00,4
USER_0126,749.57,594.5,493.52,127,1615,14,Groceries,12.64,0.21,2024-02-14 16:08:00,2024-12-20 08:56:00,3
USER_0127,1057.83,721.5,1077.06,61,2489,6,Bills & Utilities,11.83,0.0,2024-05-13 09:15:00,2024-09-30 17:39:00,4
USER_0128,1254.83,568.0,1641.6,194,4548,6,Entertainment,17.33,0.5,2024-02-04 20:03:00,2024-12-05 14:52:00,1
USER_0129,851.25,658.5,512.47,291,1623,8,Shopping,14.62,0.5,2024-01-22 06:25:00,2024-11-11 11:46:00,0
USER_0130,1333.5,708.5,1582.75,139,5439,10,Bills & Utilities,12.0,0.3,2024-04-22 07:23:00,2024-11-17 14:33:00,4
USER_0131,976.33,640.0,1037.78,73,3592,12,Healthcare,13.58,0.42,2024-02-22 21:34:00,2024-12-28 07:52:00,3
USER_0132,1144.75,787.0,932.84,131,2928,12,Bills & Utilities,12.83,0.67,2024-01-07 17:51:00,2024-12-14 16:55:00,0
USER_0133,1846.88,850.0,2402.15,261,7329,8,Fuel,16.25,0.62,2024-01-01 10:07:00,2024-12-10 21:25:00,1
USER_0134,1046.89,556.5,1295.74,46,4687,18,Transfer to Friends,14.5,0.22,2024-01-04 16:27:00,2024-12-10 09:58:00,3
USER_0135,647.0,194.0,961.22,73,2685,7,Transportation,13.71,0.14,2024-02-01 17:32:00,2024-08-20 07:30:00,2
USER_0136,908.5,697.0,1053.85,248,3801,10,Bills & Utilities,14.6,0.2,2024-01-04 21:24:00,2024-12-14 18:58:00,4
USER_0137,1658.9,1278.5,1740.24,280,6294,10,Education,14.6,0.1,2024-01-08 09:39:00,2024-12-02 19:02:00,4
USER_0138,1038.75,506.5,1415.52,85,4731,12,Education,13.08,0.33,2024-01-02 20:44:00,2024-12-21 14:30:00,3
USER_0139,2088.86,1857.0,2377.95,161,7042,7,Education,14.43,0.29,2024-01-27 09:46:00,2024-08-30 19:07:00,1
USER_0140,1214.43,780.0,894.04,384,2622,7,Shopping,15.29,0.29,2024-01-05 19:09:00,2024-11-13 10:39:00,4
USER_0141,1273.0,407.0,1865.92,203,4568,5,Groceries,13.4,0.4,2024-01-07 11:26:00,2024-12-19 15:49:00,1
USER_0142,1066.17,522.5,1389.26,123,5071,12,Entertainment,15.0,0.33,2024-01-05 07:37:00,2024-12-29 19:57:00,3
USER_0143,759.58,754.0,459.19,169,1580,12,Entertainment,14.83,0.33,2024-01-31 20:27:00,2024-10-30 18:26:00,3
USER_0144,1927.18,979.0,1881.31,59,5988,11,Education,12.45,0.36,2024-03-01 16:16:00,2024-11-05 10:53:00,1
USER_0145,755.67,581.5,508.86,317,1578,6,Food & Dining,14.5,0.33,2024-04-09 19:14:00,2024-11-09 11:20:00,0
USER_0146,573.38,362.5,397.6,222,1183,8,Entertainment,12.75,0.25,2024-03-26 10:41:00,2024-11-02 09:17:00,2
USER_0147,1283.8,583.0,1367.24,114,4809,15,Entertainment,14.0,0.33,2024-02-11 07:25:00,2024-12-08 22:36:00,3
USER_0148,642.6,589.0,548.63,62,1606,10,Transportation,15.9,0.4,2024-02-29 17:41:00,2024-12-18 16:11:00,0
USER_0149,593.57,612.0,440.51,103,1270,7,Entertainment,15.29,0.57,2024-03-10 22:08:00,2024-12-12 19:58:00,0
USER_0150,1665.29,752.0,1984.42,40,5703,7,Entertainment,13.86,0.29,2024-01-19 10:11:00,2024-12-15 19:21:00,1
USER_0151,690.1,753.5,484.09,44,1416,10,Food & Dining,16.3,0.2,2024-01-27 21:21:00,2024-11-19 19:16:00,2
USER_0152,1284.45,624.0,1657.32,88,6060,11,Groceries,13.36,0.18,2024-02-05 13:39:00,2024-10-29 09:13:00,4
USER_0153,750.36,537.5,691.04,87,2517,14,Bills & Utilities,15.79,0.29,2024-02-05 15:58:00,2024-12-30 17:16:00,3
USER_0154,841.56,658.5,719.79,93,3051,16,Food & Dining,14.25,0.38,2024-01-21 12:57:00,2024-12-25 17:26:00,3
USER_0155,1276.33,1030.0,1152.94,303,3539,6,Groceries,14.0,0.33,2024-02-14 11:58:00,2024-10-06 16:26:00,4
USER_0156,1851.14,912.0,2011.21,208,5589,7,Shopping,11.14,0.14,2024-01-19 10:10:00,2024-11-25 15:56:00,1
USER_0157,521.17,195.5,618.38,81,1762,12,Transportation,14.67,0.17,2024-01-04 18:07:00,2024-12-10 19:28:00,2
USER_0158,1054.4,549.0,1466.27,261,5125,10,Bills & Utilities,12.6,0.2,2024-01-13 11:19:00,2024-11-05 13:38:00,4
USER_0159,2033.64,1007.5,2130.61,42,5367,14,Education,14.29,0.36,2024-01-15 21:26:00,2024-11-08 09:02:00,1
USER_0160,539.92,467.0,441.56,95,1270,12,Fuel,15.42,0.33,2024-01-28 21:30:00,2024-12-24 09:32:00,2
USER_0161,1406.0,1060.0,1296.55,73,3754,10,Food & Dining,13.8,0.5,2024-02-03 19:48:00,2024-12-11 19:37:00,1
USER_0162,1343.9,718.5,1421.54,81,3856,10,Food & Dining,14.8,0.0,2024-03-01 17:42:00,2024-12-03 13:08:00,4
USER_0163,1611.86,1123.0,1292.08,315,3978,7,Fuel,14.14,0.43,2024-03-07 15:01:00,2024-09-25 15:55:00,1
USER_0164,774.33,485.0,1229.16,78,3955,9,Fuel,13.11,0.22,2024-01-04 22:41:00,2024-10-17 08:48:00,4
USER_0165,1154.75,1247.5,848.59,108,2390,8,Healthcare,13.75,0.25,2024-01-14 19:16:00,2024-11-25 09:16:00,4
USER_0166,788.0,574.5,894.73,78,2485,6,Fuel,12.83,0.33,2024-03-28 15:37:00,2024-12-30 18:30:00,0
USER_0167,341.25,335.0,124.42,201,494,4,Food & Dining,16.0,0.25,2024-03-23 18:59:00,2024-06-07 13:25:00,2
USER_0168,1223.4,572.5,1550.5,67,4861,10,Entertainment,14.5,0.3,2024-01-14 07:11:00,2024-12-15 18:28:00,4
USER_0169,397.75,377.0,203.47,57,655,8,Entertainment,15.0,0.38,2024-06-02 13:50:00,2024-12-25 20:02:00,2
USER_0170,548.0,548.0,527.5,175,921,2,Groceries,14.5,0.5,2024-03-25 20:50:00,2024-12-29 09:40:00,0
USER_0171,1250.6,978.0,1107.65,249,2748,5,Bills & Utilities,13.2,0.2,2024-03-14 11:30:00,2024-12-24 16:20:00,4
USER_0172,756.0,501.0,1215.92,98,4926,15,Shopping,13.8,0.4,2024-01-24 15:09:00,2024-11-22 18:07:00,3
USER_0173,452.43,360.0,303.68,192,1097,7,Fuel,11.86,0.29,2024-01-18 21:47:00,2024-09-12 06:52:00,2
USER_0174,489.14,499.0,182.98,292,807,7,Healthcare,11.57,0.43,2024-01-06 18:54:00,2024-10-14 09:04:00,0
USER_0175,555.25,483.0,400.6,37,1260,12,Entertainment,15.83,0.33,2024-02-25 14:13:00,2024-10-28 21:58:00,2
USER_0176,692.17,421.5,776.14,82,2211,6,Entertainment,17.17,0.17,2024-02-01 22:02:00,2024-10-08 22:08:00,2
USER_0177,1110.25,798.0,1104.89,192,3143,8,Entertainment,16.38,0.38,2024-01-31 13:25:00,2024-11-27 13:45:00,0
USER_0178,890.73,481.0,1643.88,51,5814,11,Bills & Utilities,15.64,0.45,2024-01-08 09:39:00,2024-11-25 15:10:00,3
USER_0179,719.8,473.5,702.44,42,1817,10,Groceries,14.1,0.2,2024-01-30 10:58:00,2024-12-20 10:48:00,2
USER_0180,687.71,451.0,781.34,96,2335,7,Entertainment,14.29,0.57,2024-02-03 20:20:00,2024-12-07 11:05:00,0
USER_0181,520.25,564.0,245.9,211,742,4,Food & Dining,12.5,0.0,2024-01-01 08:17:00,2024-12-10 16:39:00,2
USER_0182,796.0,456.0,1313.88,77,5252,14,Fuel,16.71,0.14,2024-01-11 17:39:00,2024-12-10 20:03:00,3
USER_0183,1503.0,688.0,1713.37,226,4538,8,Education,13.5,0.38,2024-05-05 09:40:00,2024-12-27 10:05:00,1
USER_0184,1275.21,721.0,1322.53,42,4206,14,Bills & Utilities,15.5,0.14,2024-01-09 09:29:00,2024-12-01 18:54:00,4
USER_0185,1386.57,1478.0,1430.57,73,4184,7,Education,12.57,0.14,2024-01-31 15:26:00,2024-11-10 17:38:00,4
USER_0186,704.67,547.0,910.59,21,3779,15,Healthcare,15.93,0.4,2024-02-12 11:15:00,2024-11-14 15:18:00,3
USER_0187,587.86,461.0,364.6,228,1150,7,Food & Dining,13.14,0.71,2024-01-19 12:51:00,2024-10-09 13:01:00,0
USER_0188,695.44,217.0,871.74,104,2595,9,Groceries,13.0,0.44,2024-01-25 15:56:00,2024-11-10 10:21:00,0
USER_0189,1314.89,1468.0,892.19,61,2826,9,Education,14.44,0.44,2024-01-21 13:27:00,2024-12-13 22:17:00,0
USER_0190,1027.33,775.5,1021.18,32,3130,18,Healthcare,13.28,0.22,2024-02-14 09:22:00,2024-11-11 19:03:00,3
USER_0191,358.78,364.0,250.44,44,721,9,Transportation,12.56,0.44,2024-03-11 18:41:00,2024-12-28 11:17:00,0
USER_0192,1096.38,855.0,1142.52,60,4786,16,Bills & Utilities,13.19,0.38,2024-03-01 08:54:00,2024-11-30 14:21:00,3
USER_0193,963.15,820.0,803.53,125,2799,13,Entertainment,14.85,0.54,2024-01-28 16:53:00,2024-12-29 20:37:00,3
USER_0194,694.5,517.5,845.86,82,2694,8,Fuel,15.25,0.25,2024-01-23 08:10:00,2024-11-21 16:03:00,2
USER_0195,1112.0,415.5,1685.31,102,5668,10,Healthcare,13.7,0.2,2024-03-11 20:59:00,2024-12-04 14:57:00,4
USER_0196,733.09,482.0,656.73,82,2363,11,Entertainment,15.27,0.36,2024-01-22 20:54:00,2024-12-30 15:07:00,3
USER_0197,623.75,488.0,544.37,50,1868,8,Food & Dining,11.0,0.12,2024-01-17 08:46:00,2024-11-11 18:41:00,2
USER_0198,1365.75,856.5,1533.78,98,3780,8,Education,14.75,0.25,2024-01-06 10:19:00,2024-10-05 19:50:00,4
USER_0199,1471.4,1192.5,837.98,429,3251,10,Shopping,16.5,0.2,2024-01-24 13:58:00,2024-11-13 11:15:00,4
USER_0200,874.38,392.0,1075.24,212,3348,8,Food & Dining,14.88,0.62,2024-01-16 09:49:00,2024-12-24 18:26:00,0
USER_0201,391.0,298.0,237.17,77,772,11,Entertainment,14.82,0.27,2024-01-02 16:39:00,2024-11-12 20:59:00,2
USER_0202,1303.4,672.5,1904.5,247,6528,10,Bills & Utilities,15.6,0.5,2024-01-07 19:48:00,2024-12-14 13:37:00,1
USER_0203,464.38,201.0,607.67,54,1874,8,Transportation,15.88,0.25,2024-01-02 21:59:00,2024-11-07 14:31:00,2
