transaction_id,user_id,timestamp,amount,category,receiver_id,receiver_type,status,payment_method,location,day_of_week,hour,is_weekend
TXN_000053,USER_0928,2024-06-03 09:01:00,158,Food & Dining,E-commerce_5533,E-commerce,SUCCESS,PhonePe,Mumbai,Monday,9,0
TXN_000054,USER_0342,2024-06-24 16:28:00,386,Shopping,Individual_8239,Individual,SUCCESS,Amazon Pay,Pune,Monday,16,0
TXN_000055,USER_0575,2024-01-13 09:57:00,177,Food & Dining,Merchant_3442,Merchant,FAILED,Amazon Pay,Mumbai,Saturday,9,1
TXN_000056,USER_0855,2024-06-21 12:00:00,289,Healthcare,E-commerce_3088,E-commerce,SUCCESS,PhonePe,Kolkata,Friday,12,0
TXN_000057,USER_0374,2024-05-22 13:33:00,411,Food & Dining,Individual_5088,Individual,SUCCESS,Cred,Delhi,Wednesday,13,0
TXN_000058,USER_0363,2024-12-07 08:24:00,918,Fuel,Individual_4878,Individual,SUCCESS,Google Pay,Bangalore,Saturday,8,1
TXN_000059,USER_0903,2024-11-21 15:53:00,1119,Education,Individual_6442,Individual,SUCCESS,BHIM,Chennai,Thursday,15,0
TXN_000060,USER_0274,2024-04-17 14:38:00,1712,Shopping,E-commerce_1634,E-commerce,SUCCESS,BHIM,Chennai,Wednesday,14,0
TXN_000061,USER_0205,2024-12-20 15:39:00,147,Groceries,Service Provider_4728,Service Provider,SUCCESS,Google Pay,Mumbai,Friday,15,0
TXN_000062,USER_0676,2024-05-03 10:29:00,428,Bills & Utilities,Service Provider_5564,Service Provider,FAILED,PhonePe,Kolkata,Friday,10,0
TXN_000063,USER_0360,2024-12-11 10:25:00,178,Fuel,Service Provider_1452,Service Provider,SUCCESS,PhonePe,Kolkata,Wednesday,10,0
TXN_000064,USER_0183,2024-05-06 16:11:00,830,Transfer to Friends,Merchant_2776,Merchant,SUCCESS,Amazon Pay,Pune,Monday,16,0
TXN_000065,USER_0354,2024-04-05 14:53:00,1070,Healthcare,Merchant_7311,Merchant,SUCCESS,Amazon Pay,Chennai,Friday,14,0
TXN_000066,USER_0261,2024-09-28 19:38:00,281,Food & Dining,E-commerce_1027,E-commerce,SUCCESS,Amazon Pay,Jaipur,Saturday,19,1
TXN_000067,USER_0704,2024-06-02 16:50:00,1398,Bills & Utilities,E-commerce_2146,E-commerce,SUCCESS,Cred,Hyderabad,Sunday,16,1
TXN_000068,USER_0639,2024-10-11 14:27:00,954,Healthcare,Service Provider_9308,Service Provider,FAILED,Paytm,Pune,Friday,14,0
TXN_000069,USER_0335,2024-12-06 15:35:00,2729,Education,Individual_4143,Individual,SUCCESS,BHIM,Pune,Friday,15,0
TXN_000070,USER_0694,2024-12-22 16:57:00,1913,Shopping,E-commerce_9977,E-commerce,SUCCESS,PhonePe,Kolkata,Sunday,16,1
TXN_000071,USER_0294,2024-05-26 10:31:00,934,Bills & Utilities,Service Provider_8618,Service Provider,SUCCESS,BHIM,Ahmedabad,Sunday,10,1
TXN_000072,USER_0692,2024-01-04 16:23:00,1555,Bills & Utilities,Individual_2389,Individual,SUCCESS,Paytm,Jaipur,Thursday,16,0
TXN_000073,USER_0680,2024-06-26 10:59:00,2066,Transfer to Friends,Merchant_4848,Merchant,SUCCESS,Cred,Kolkata,Wednesday,10,0
TXN_000074,USER_0231,2024-06-27 11:36:00,1187,Bills & Utilities,Merchant_1757,Merchant,SUCCESS,Google Pay,Ahmedabad,Thursday,11,0
TXN_000075,USER_0626,2024-02-13 17:12:00,76,Transportation,E-commerce_4185,E-commerce,SUCCESS,Cred,Pune,Tuesday,17,0
TXN_000076,USER_0507,2024-09-09 11:49:00,4032,Education,Individual_1090,Individual,SUCCESS,PhonePe,Pune,Monday,11,0
TXN_000077,USER_0225,2024-03-30 11:50:00,1062,Shopping,Merchant_5082,Merchant,SUCCESS,PhonePe,Ahmedabad,Saturday,11,1
TXN_000078,USER_0137,2024-11-09 13:49:00,280,Groceries,E-commerce_9270,E-commerce,SUCCESS,BHIM,Jaipur,Saturday,13,1
TXN_000079,USER_0457,2024-12-22 18:23:00,785,Shopping,E-commerce_5246,E-commerce,SUCCESS,Google Pay,Kolkata,Sunday,18,1
TXN_000080,USER_0785,2024-04-08 21:35:00,922,Fuel,Individual_5499,Individual,SUCCESS,BHIM,Delhi,Monday,21,0
TXN_000081,USER_0731,2024-08-11 22:11:00,268,Entertainment,Service Provider_6502,Service Provider,SUCCESS,Paytm,Jaipur,Sunday,22,1
TXN_000082,USER_0083,2024-10-05 18:34:00,1682,Shopping,Individual_7275,Individual,SUCCESS,Cred,Bangalore,Saturday,18,1
TXN_000083,USER_0724,2024-12-07 13:58:00,928,Bills & Utilities,E-commerce_7678,E-commerce,SUCCESS,Paytm,Jaipur,Saturday,13,1
TXN_000084,USER_0478,2024-08-20 11:11:00,6370,Education,Individual_7883,Individual,SUCCESS,BHIM,Lucknow,Tuesday,11,0
TXN_000085,USER_0969,2024-12-04 20:46:00,102,Food & Dining,E-commerce_8814,E-commerce,SUCCESS,PhonePe,Hyderabad,Wednesday,20,0
TXN_000086,USER_0306,2024-04-08 12:24:00,3680,Education,Individual_8999,Individual,SUCCESS,Google Pay,Kolkata,Monday,12,0
TXN_000087,USER_0447,2024-07-04 15:13:00,130,Groceries,E-commerce_6507,E-commerce,SUCCESS,Cred,Pune,Thursday,15,0
TXN_000088,USER_0742,2024-06-11 16:28:00,1263,Shopping,Individual_9751,Individual,SUCCESS,PhonePe,Pune,Tuesday,16,0
TXN_000089,USER_0607,2024-08-17 14:45:00,3442,Transfer to Friends,Merchant_8022,Merchant,SUCCESS,Google Pay,Ahmedabad,Saturday,14,1
TXN_000090,USER_0187,2024-10-09 13:01:00,239,Food & Dining,E-commerce_6363,E-commerce,SUCCESS,Google Pay,Ahmedabad,Wednesday,13,0
TXN_000091,USER_0335,2024-05-24 15:06:00,668,Healthcare,Service Provider_7906,Service Provider,SUCCESS,Paytm,Delhi,Friday,15,0
TXN_000092,USER_0482,2024-10-18 20:59:00,159,Food & Dining,Merchant_6733,Merchant,SUCCESS,Google Pay,Delhi,Friday,20,0
TXN_000093,USER_0800,2024-07-20 09:18:00,144,Food & Dining,Individual_4266,Individual,SUCCESS,PhonePe,Lucknow,Saturday,9,1
TXN_000094,USER_0157,2024-06-21 13:49:00,1762,Bills & Utilities,E-commerce_2874,E-commerce,SUCCESS,Amazon Pay,Chennai,Friday,13,0
TXN_000095,USER_0477,2024-12-13 18:59:00,109,Entertainment,Individual_2876,Individual,SUCCESS,Google Pay,Kolkata,Friday,18,0
TXN_000096,USER_0111,2024-04-26 13:57:00,898,Transfer to Friends,Service Provider_7149,Service Provider,FAILED,BHIM,Chennai,Friday,13,0
TXN_000097,USER_0078,2024-09-08 12:35:00,4400,Transfer to Friends,Merchant_5941,Merchant,SUCCESS,Cred,Lucknow,Sunday,12,1
TXN_000098,USER_0825,2024-02-16 07:48:00,57,Transportation,Service Provider_9728,Service Provider,SUCCESS,BHIM,Hyderabad,Friday,7,0
TXN_000099,USER_0071,2024-05-23 12:56:00,1611,Fuel,Merchant_7882,Merchant,SUCCESS,BHIM,Delhi,Thursday,12,0
TXN_000100,USER_0444,2024-09-28 16:37:00,965,Healthcare,Individual_8135,Individual,SUCCESS,Google Pay,Jaipur,Saturday,16,1
TXN_000101,USER_0989,2024-06-12 19:07:00,403,Entertainment,E-commerce_8136,E-commerce,SUCCESS,Cred,Lucknow,Wednesday,19,0
TXN_000102,USER_0275,2024-08-07 13:40:00,909,Healthcare,Merchant_5569,Merchant,SUCCESS,BHIM,Chennai,Wednesday,13,0
TXN_000103,USER_0769,2024-07-30 20:47:00,285,Groceries,Service Provider_1470,Service Provider,SUCCESS,BHIM,Hyderabad,Tuesday,20,0
TXN_000104,USER_0187,2024-02-04 14:17:00,655,Groceries,Service Provider_5232,Service Provider,SUCCESS,Paytm,Kolkata,Sunday,14,1
TXN_000105,USER_0902,2024-11-07 21:49:00,132,Transfer to Friends,Merchant_9464,Merchant,SUCCESS,Google Pay,Delhi,Thursday,21,0
TXN_000106,USER_0248,2024-10-15 14:00:00,1537,Education,Individual_8800,Individual,SUCCESS,Cred,Ahmedabad,Tuesday,14,0
TXN_000107,USER_0459,2024-10-09 08:12:00,354,Food & Dining,Service Provider_4630,Service Provider,SUCCESS,BHIM,Chennai,Wednesday,8,0
TXN_000108,USER_0314,2024-04-08 22:00:00,2295,Transfer to Friends,E-commerce_9698,E-commerce,FAILED,Paytm,Pune,Monday,22,0
TXN_000109,USER_0764,2024-12-16 10:37:00,921,Fuel,Service Provider_8434,Service Provider,SUCCESS,Paytm,Kolkata,Monday,10,0
TXN_000110,USER_0258,2024-02-22 13:09:00,1216,Bills & Utilities,Individual_6169,Individual,SUCCESS,PhonePe,Jaipur,Thursday,13,0
TXN_000111,USER_0974,2024-02-20 13:00:00,90,Shopping,Individual_8933,Individual,SUCCESS,Paytm,Lucknow,Tuesday,13,0
TXN_000112,USER_0779,2024-02-03 17:30:00,391,Fuel,Merchant_4180,Merchant,SUCCESS,Paytm,Chennai,Saturday,17,1
TXN_000113,USER_0370,2024-09-15 20:49:00,224,Shopping,Merchant_9751,Merchant,SUCCESS,Google Pay,Kolkata,Sunday,20,1
TXN_000114,USER_0047,2024-08-23 19:29:00,133,Food & Dining,Service Provider_3068,Service Provider,SUCCESS,Cred,Ahmedabad,Friday,19,0
TXN_000115,USER_0106,2024-07-25 19:20:00,336,Food & Dining,Service Provider_8690,Service Provider,SUCCESS,BHIM,Ahmedabad,Thursday,19,0
TXN_000116,USER_0349,2024-04-12 15:59:00,165,Shopping,Service Provider_8827,Service Provider,SUCCESS,PhonePe,Delhi,Friday,15,0
TXN_000117,USER_0411,2024-11-03 17:37:00,1006,Groceries,Merchant_3485,Merchant,SUCCESS,Google Pay,Lucknow,Sunday,17,1
TXN_000118,USER_0972,2024-01-30 19:50:00,472,Entertainment,Individual_2940,Individual,SUCCESS,Amazon Pay,Pune,Tuesday,19,0
TXN_000119,USER_0621,2024-11-25 08:59:00,3566,Transfer to Friends,E-commerce_8381,E-commerce,SUCCESS,BHIM,Kolkata,Monday,8,0
TXN_000120,USER_0881,2024-02-03 13:52:00,4306,Transfer to Friends,Service Provider_1986,Service Provider,SUCCESS,Amazon Pay,Delhi,Saturday,13,1
TXN_000121,USER_0971,2024-09-05 15:54:00,332,Bills & Utilities,Service Provider_2330,Service Provider,SUCCESS,Google Pay,Chennai,Thursday,15,0
TXN_000122,USER_0178,2024-01-08 09:39:00,575,Fuel,Individual_1043,Individual,SUCCESS,BHIM,Ahmedabad,Monday,9,0
TXN_000123,USER_0706,2024-04-02 09:57:00,795,Transfer to Friends,Service Provider_1534,Service Provider,SUCCESS,Google Pay,Kolkata,Tuesday,9,0
TXN_000124,USER_0724,2024-04-01 19:21:00,96,Entertainment,Merchant_4824,Merchant,SUCCESS,Paytm,Lucknow,Monday,19,0
TXN_000125,USER_0678,2024-02-15 10:48:00,538,Bills & Utilities,Merchant_9922,Merchant,SUCCESS,Google Pay,Bangalore,Thursday,10,0
TXN_000126,USER_0931,2024-03-13 19:56:00,368,Entertainment,Merchant_1977,Merchant,SUCCESS,Google Pay,Kolkata,Wednesday,19,0
TXN_000127,USER_0610,2024-11-14 20:16:00,4305,Transfer to Friends,E-commerce_3037,E-commerce,SUCCESS,BHIM,Kolkata,Thursday,20,0
TXN_000128,USER_0717,2024-01-08 09:34:00,6172,Education,E-commerce_8172,E-commerce,SUCCESS,PhonePe,Lucknow,Monday,9,0
TXN_000129,USER_0041,2024-01-14 10:27:00,1142,Education,Service Provider_1423,Service Provider,SUCCESS,PhonePe,Chennai,Sunday,10,1
TXN_000130,USER_0985,2024-06-02 21:58:00,427,Transfer to Friends,Service Provider_1659,Service Provider,SUCCESS,Google Pay,Ahmedabad,Sunday,21,1
TXN_000131,USER_0532,2024-12-28 20:44:00,866,Groceries,Individual_8141,Individual,SUCCESS,Cred,Ahmedabad,Saturday,20,1
TXN_000132,USER_0993,2024-08-14 17:14:00,69,Transportation,Service Provider_7690,Service Provider,SUCCESS,Paytm,Hyderabad,Wednesday,17,0
TXN_000133,USER_0687,2024-09-29 07:21:00,61,Transportation,Service Provider_7744,Service Provider,SUCCESS,Cred,Ahmedabad,Sunday,7,1
TXN_000134,USER_0296,2024-05-24 13:19:00,5218,Education,E-commerce_2442,E-commerce,SUCCESS,Paytm,Kolkata,Friday,13,0
TXN_000135,USER_0332,2024-04-20 18:46:00,187,Transportation,Merchant_9889,Merchant,SUCCESS,BHIM,Pune,Saturday,18,1
TXN_000136,USER_0056,2024-09-20 16:48:00,743,Bills & Utilities,E-commerce_8242,E-commerce,SUCCESS,PhonePe,Chennai,Friday,16,0
TXN_000137,USER_0274,2024-10-08 21:33:00,287,Fuel,Service Provider_8178,Service Provider,SUCCESS,Cred,Ahmedabad,Tuesday,21,0
TXN_000138,USER_0125,2024-10-15 19:21:00,260,Food & Dining,Individual_3594,Individual,SUCCESS,Paytm,Jaipur,Tuesday,19,0
TXN_000139,USER_0015,2024-11-26 19:29:00,536,Fuel,Merchant_4681,Merchant,SUCCESS,PhonePe,Ahmedabad,Tuesday,19,0
TXN_000140,USER_0970,2024-05-16 07:02:00,63,Transportation,E-commerce_5781,E-commerce,SUCCESS,Amazon Pay,Kolkata,Thursday,7,0
TXN_000141,USER_0426,2024-01-06 10:19:00,330,Groceries,Individual_8483,Individual,SUCCESS,Amazon Pay,Bangalore,Saturday,10,1
TXN_000142,USER_0393,2024-11-30 14:53:00,199,Bills & Utilities,Merchant_5526,Merchant,SUCCESS,BHIM,Hyderabad,Saturday,14,1
TXN_000143,USER_0957,2024-07-12 20:10:00,670,Fuel,Merchant_5634,Merchant,SUCCESS,Cred,Kolkata,Friday,20,0
TXN_000144,USER_0858,2024-06-21 19:04:00,1528,Transfer to Friends,Individual_8316,Individual,SUCCESS,Amazon Pay,Ahmedabad,Friday,19,0
TXN_000145,USER_0354,2024-01-20 09:11:00,455,Healthcare,E-commerce_6272,E-commerce,SUCCESS,Google Pay,Chennai,Saturday,9,1
TXN_000146,USER_0586,2024-11-15 14:36:00,882,Education,E-commerce_1715,E-commerce,SUCCESS,Paytm,Ahmedabad,Friday,14,0
TXN_000147,USER_0723,2024-06-26 16:09:00,4214,Education,Individual_9115,Individual,SUCCESS,PhonePe,Bangalore,Wednesday,16,0
TXN_000148,USER_0515,2024-06-20 09:12:00,1787,Transfer to Friends,Merchant_8213,Merchant,SUCCESS,PhonePe,Jaipur,Thursday,9,0
TXN_000149,USER_0933,2024-10-31 13:59:00,1289,Groceries,Individual_7717,Individual,SUCCESS,Cred,Bangalore,Thursday,13,0
TXN_000150,USER_0077,2024-05-16 10:11:00,414,Groceries,Service Provider_7512,Service Provider,SUCCESS,Cred,Delhi,Thursday,10,0
TXN_000151,USER_0873,2024-11-15 13:07:00,1911,Healthcare,Service Provider_8994,Service Provider,SUCCESS,Amazon Pay,Mumbai,Friday,13,0
TXN_000152,USER_0633,2024-11-11 08:34:00,46,Transportation,Service Provider_4727,Service Provider,SUCCESS,Cred,Delhi,Monday,8,0
TXN_000153,USER_0445,2024-03-02 08:24:00,187,Transportation,E-commerce_3725,E-commerce,SUCCESS,Cred,Kolkata,Saturday,8,1
TXN_000154,USER_0926,2024-10-22 09:38:00,153,Food & Dining,Service Provider_1919,Service Provider,SUCCESS,Paytm,Hyderabad,Tuesday,9,0
TXN_000155,USER_0384,2024-05-22 09:24:00,5207,Education,Individual_9702,Individual,SUCCESS,BHIM,Lucknow,Wednesday,9,0
TXN_000156,USER_0699,2024-11-04 17:39:00,626,Shopping,Individual_2293,Individual,SUCCESS,Amazon Pay,Pune,Monday,17,0
TXN_000157,USER_0635,2024-01-15 15:28:00,558,Bills & Utilities,Individual_4804,Individual,SUCCESS,BHIM,Kolkata,Monday,15,0
TXN_000158,USER_0471,2024-08-18 20:35:00,611,Entertainment,E-commerce_5712,E-commerce,SUCCESS,Cred,Jaipur,Sunday,20,1
TXN_000159,USER_0162,2024-10-15 18:03:00,191,Transportation,Service Provider_5901,Service Provider,SUCCESS,Cred,Pune,Tuesday,18,0
TXN_000160,USER_0707,2024-01-05 20:09:00,651,Entertainment,Service Provider_4263,Service Provider,SUCCESS,BHIM,Ahmedabad,Friday,20,0
TXN_000161,USER_0110,2024-06-05 15:03:00,1561,Bills & Utilities,Service Provider_5847,Service Provider,SUCCESS,Cred,Kolkata,Wednesday,15,0
TXN_000162,USER_0023,2024-04-04 11:50:00,562,Education,Merchant_1803,Merchant,SUCCESS,Amazon Pay,Ahmedabad,Thursday,11,0
TXN_000163,USER_0853,2024-01-11 19:39:00,780,Entertainment,Service Provider_4588,Service Provider,SUCCESS,Cred,Chennai,Thursday,19,0
TXN_000164,USER_0636,2024-01-23 19:45:00,858,Entertainment,Merchant_1645,Merchant,SUCCESS,Paytm,Ahmedabad,Tuesday,19,0
TXN_000165,USER_0035,2024-11-11 18:11:00,1730,Transfer to Friends,Individual_2476,Individual,SUCCESS,Paytm,Hyderabad,Monday,18,0
TXN_000166,USER_0766,2024-11-19 13:55:00,3489,Education,Individual_3165,Individual,FAILED,Amazon Pay,Hyderabad,Tuesday,13,0
TXN_000167,USER_0544,2024-02-20 18:13:00,1285,Fuel,Individual_5210,Individual,SUCCESS,BHIM,Kolkata,Tuesday,18,0
TXN_000168,USER_0765,2024-09-23 15:00:00,2109,Healthcare,E-commerce_2233,E-commerce,SUCCESS,Google Pay,Chennai,Monday,15,0
TXN_000169,USER_0881,2024-11-04 09:09:00,3216,Education,Merchant_7464,Merchant,SUCCESS,PhonePe,Kolkata,Monday,9,0
TXN_000170,USER_0550,2024-06-02 17:34:00,155,Transportation,Service Provider_5295,Service Provider,SUCCESS,Amazon Pay,Pune,Sunday,17,1
TXN_000171,USER_0843,2024-07-28 11:33:00,759,Healthcare,Individual_8724,Individual,SUCCESS,PhonePe,Lucknow,Sunday,11,1
TXN_000172,USER_0906,2024-12-29 16:50:00,843,Fuel,Individual_2035,Individual,SUCCESS,Cred,Ahmedabad,Sunday,16,1
TXN_000173,USER_0932,2024-06-09 18:28:00,407,Entertainment,Merchant_3290,Merchant,SUCCESS,PhonePe,Mumbai,Sunday,18,1
TXN_000174,USER_0312,2024-06-02 20:49:00,769,Groceries,Merchant_4846,Merchant,SUCCESS,Amazon Pay,Bangalore,Sunday,20,1
TXN_000175,USER_0398,2024-03-03 16:48:00,566,Groceries,E-commerce_3531,E-commerce,SUCCESS,BHIM,Delhi,Sunday,16,1
TXN_000176,USER_0854,2024-05-20 15:50:00,289,Groceries,Service Provider_1536,Service Provider,SUCCESS,Cred,Hyderabad,Monday,15,0
TXN_000177,USER_0223,2024-10-31 16:18:00,380,Groceries,Individual_6942,Individual,SUCCESS,PhonePe,Hyderabad,Thursday,16,0
TXN_000178,USER_0558,2024-06-23 10:01:00,902,Healthcare,E-commerce_5520,E-commerce,SUCCESS,Google Pay,Delhi,Sunday,10,1
TXN_000179,USER_0972,2024-02-24 15:02:00,346,Groceries,Individual_1349,Individual,SUCCESS,PhonePe,Hyderabad,Saturday,15,1
TXN_000180,USER_0250,2024-06-10 21:32:00,487,Shopping,Merchant_4394,Merchant,FAILED,Amazon Pay,Chennai,Monday,21,0
TXN_000181,USER_0833,2024-01-08 09:56:00,1601,Bills & Utilities,Individual_1046,Individual,SUCCESS,Paytm,Bangalore,Monday,9,0
TXN_000182,USER_0134,2024-09-11 18:07:00,595,Fuel,Individual_2801,Individual,SUCCESS,Cred,Mumbai,Wednesday,18,0
TXN_000183,USER_0135,2024-04-01 12:07:00,138,Food & Dining,Individual_6304,Individual,SUCCESS,PhonePe,Bangalore,Monday,12,0
TXN_000184,USER_0272,2024-03-28 09:31:00,152,Food & Dining,E-commerce_9619,E-commerce,SUCCESS,PhonePe,Delhi,Thursday,9,0
